# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Mommsen an Brunn Berlin, 17. Mai 1861 - 3 - das Gezänk so fortgeht, könnte es wahr werden.
1-1	Mommsen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-2	an	APPR	an	_	O	O	
1-3	Brunn	NN	Brunn	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-4	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-5	,	$,	,	_	O	O	
1-6	17	CARD	17	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-7	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-8	Mai	NN	Mai	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-9	1861	CARD	1861	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-10	-	$(	-	_	O	O	
1-11	3	CARD	3	_	O	O	
1-12	-	$(	-	_	O	O	
1-13	das	ART	die	_	O	O	
1-14	Gezänk	NN	Gezänk	_	O	O	
1-15	so	ADV	so	_	O	O	
1-16	fortgeht	VVFIN	fortgehen	_	O	O	
1-17	,	$,	,	_	O	O	
1-18	könnte	VMFIN	können	_	O	O	
1-19	es	PPER	es	_	O	O	
1-20	wahr	ADJD	wahr	_	O	O	
1-21	werden	VAINF	werden	_	O	O	
1-22	.	$.	.	_	O	O	

#id=2
#text=Die Wideraufnähme der memorie werde ich in der G. D. einmal zur Sprache bringen, und bin selber sehr einverstanden, jedoch mit einer Modification.
2-1	Die	ART	die	_	O	O	
2-2	Wideraufnähme	NN	<unknown>	_	O	O	
2-3	der	ART	die	_	O	O	
2-4	memorie	NN	<unknown>	_	O	O	
2-5	werde	VAFIN	werden	_	O	O	
2-6	ich	PPER	ich	_	O	O	
2-7	in	APPR	in	_	O	O	
2-8	der	ART	die	_	O	O	
2-9	G.	NE	G.	_	O	O	
2-10	D.	NE	D.	_	O	O	
2-11	einmal	ADV	einmal	_	O	O	
2-12	zur	APPRART	zu	_	O	O	
2-13	Sprache	NN	Sprache	_	O	O	
2-14	bringen	VVINF	bringen	_	O	O	
2-15	,	$,	,	_	O	O	
2-16	und	KON	und	_	O	O	
2-17	bin	VAFIN	sein	_	O	O	
2-18	selber	ADV	selber	_	O	O	
2-19	sehr	ADV	sehr	_	O	O	
2-20	einverstanden	ADJD	einverstanden	_	O	O	
2-21	,	$,	,	_	O	O	
2-22	jedoch	ADV	jedoch	_	O	O	
2-23	mit	APPR	mit	_	O	O	
2-24	einer	ART	eine	_	O	O	
2-25	Modification	NN	<unknown>	_	O	O	
2-26	.	$.	.	_	O	O	

#id=3
#text=Das Institut dient .
3-1	Das	ART	die	_	O	O	
3-2	Institut	NN	Institut	_	B-webanno.custom.LetterEntity_	B-ORGmentioned	
3-3	dient	VVFIN	dienen	_	O	O	
3-4	.	$.	.	_	O	O	

#id=4
#text=seit langem dazu, daß die jungen Philologen, die nach Rom kommen, in seinen Schriften ihre philologischen wild	ausstreuenj	das	ist	auch	ganz	nothwendig	und gut, muß aber nicht zu jseit gehen.
4-1	seit	APPR	seit	_	O	O	
4-2	langem	ADJA	lang	_	O	O	
4-3	dazu	PAV	dazu	_	O	O	
4-4	,	$,	,	_	O	O	
4-5	daß	KOUS	dass	_	O	O	
4-6	die	ART	die	_	O	O	
4-7	jungen	ADJA	jung	_	O	O	
4-8	Philologen	NN	Philologe	_	O	O	
4-9	,	$,	,	_	O	O	
4-10	die	PRELS	die	_	O	O	
4-11	nach	APPR	nach	_	O	O	
4-12	Rom	NE	Rom	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
4-13	kommen	VVFIN	kommen	_	O	O	
4-14	,	$,	,	_	O	O	
4-15	in	APPR	in	_	O	O	
4-16	seinen	PPOSAT	sein	_	O	O	
4-17	Schriften	NN	Schrift	_	O	O	
4-18	ihre	PPOSAT	ihr	_	O	O	
4-19	philologischen	ADJA	philologisch	_	O	O	
4-20	wild	ADJD	wild	_	O	O	
4-21	ausstreuenj	ADJD	<unknown>	_	O	O	
4-22	das	PDS	die	_	O	O	
4-23	ist	VAFIN	sein	_	O	O	
4-24	auch	ADV	auch	_	O	O	
4-25	ganz	ADV	ganz	_	O	O	
4-26	nothwendig	ADJD	<unknown>	_	O	O	
4-27	und	KON	und	_	O	O	
4-28	gut	ADJD	gut	_	O	O	
4-29	,	$,	,	_	O	O	
4-30	muß	VMFIN	müssen	_	O	O	
4-31	aber	ADV	aber	_	O	O	
4-32	nicht	PTKNEG	nicht	_	O	O	
4-33	zu	PTKA	zu	_	O	O	
4-34	jseit	ADJD	<unknown>	_	O	O	
4-35	gehen	VVINF	gehen	_	O	O	
4-36	.	$.	.	_	O	O	

#id=5
#text=Wenn die memorie die Ablagerungsstätte für kleine Bücher, die nicht leicht einen Verleger finden, so ist das schlimm.
5-1	Wenn	KOUS	wenn	_	O	O	
5-2	die	ART	die	_	O	O	
5-3	memorie	NN	<unknown>	_	O	O	
5-4	die	ART	die	_	O	O	
5-5	Ablagerungsstätte	NN	<unknown>	_	O	O	
5-6	für	APPR	für	_	O	O	
5-7	kleine	ADJA	klein	_	O	O	
5-8	Bücher	NN	Buch	_	O	O	
5-9	,	$,	,	_	O	O	
5-10	die	PRELS	die	_	O	O	
5-11	nicht	PTKNEG	nicht	_	O	O	
5-12	leicht	ADJD	leicht	_	O	O	
5-13	einen	ART	eine	_	O	O	
5-14	Verleger	NN	Verleger	_	O	O	
5-15	finden	VVFIN	finden	_	O	O	
5-16	,	$,	,	_	O	O	
5-17	so	ADV	so	_	O	O	
5-18	ist	VAFIN	sein	_	O	O	
5-19	das	PDS	die	_	O	O	
5-20	schlimm	ADJD	schlimm	_	O	O	
5-21	.	$.	.	_	O	O	

#id=6
